"U.S. Citizenship and Immigration Services
Field Offices Form N-400 Applications for Naturalization Receipts, Completions and Pending
Fiscal Years: 2010 through 2013 (November 2012)",,,,,,,,,,,,,
,,, N-400 Non-Military , N-400 Non-Military , N-400 Non-Military , N-400 Non-Military ,N-400 Military,N-400 Military,N-400 Military,N-400 Military, Total Naturalization Applications  , Total Naturalization Applications  , Total Naturalization Applications  
Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
2011,DET,DETROIT MI ,"12,010","10,494","1,340","5,464",35,31,3,25,"12,045","11,868","5,489"
2011,DSM,DES MOINES IA,"1,921","1,560",264,957,8,11,2,2,"1,929","1,837",959
2011,DVD,DOVER DE AFB , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2011,ELP,EL PASO TX ,"3,995","3,653",320,"1,580",105,129,8,45,"4,100","4,110","1,625"
2011,FRE,FRESNO CA ,"11,428","9,375",905,"4,198",97,101,19,17,"11,525","10,400","4,215"
2011,FSA,FORT SMITH AR ,"1,028",960,111,386,8,3,2,2,"1,036","1,076",388
2011,GCU,GARDEN CITY NY, -   ,"13,898","1,833","2,413",58,10,4,12,58,"15,745","2,425"
2011,GRR,GREER SC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2011,HAR,HARTFORD CT ,"9,414","8,442","1,422","4,187",46,14,9,17,"9,460","9,887","4,204"
2011,HEL,HELENA MT ,312,283,14,120,21,16, -   ,4,333,313,124
2011,HHW,HONOLULU HI ,"3,285","3,264",276,"1,203",536,180,26,117,"3,821","3,746","1,320"
2011,HIA,HIALEAH FL,"14,065","12,408","1,033","4,753",34,38,4,12,"14,099","13,483","4,765"
2011,HLG,HARLINGEN TX ,"3,250","2,757",397,"1,174",34,32,1,9,"3,284","3,187","1,183"
2011,HOU,HOUSTON TX ,"22,831","20,758","1,515","9,843",90,86,4,16,"22,921","22,363","9,859"
2011,IMP,IMPERIAL CA,"1,174",963,29,391,9,10, -   ,2,"1,183","1,002",393
2011,INP,INDIANAPOLIS IN ,"3,505","3,434",218,"1,221",19,20,2,3,"3,524","3,674","1,224"
2011,JAC,JACKSONV'L FL ,"4,570","4,670",212,"1,553",145,163,1,22,"4,715","5,046","1,575"
2011,KAN,KANSAS CITY MO ,"3,560","3,260",174,"1,507",233,177,32,76,"3,793","3,643","1,583"
2011,KND,KENDALL FL,"12,660","11,389",995,"5,125",34,35,4,11,"12,694","12,423","5,136"
2011,LAW,LAWRENCE MA,"6,934","6,496",663,"2,202",27,17, -   ,16,"6,961","7,176","2,218"
2011,LNY,LONG ISLAND NY,"16,238","13,876",898,"7,983", -   ,47,4,3,"16,238","14,825","7,986"
